taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.981392,40.720856,0.12
2.0,-73.976234,40.760677,0.15
3.0,-73.95182,40.714127,0.37
4.0,-73.998909,40.744617,0.27
5.0,-74.000969,40.746944,0.7
6.0,-73.997276,40.72134,0.26
7.0,-73.972748,40.793308,0.56
8.0,-73.961021,40.760731,0.8
9.0,-74.005501,40.718311,0.43
10.0,-73.988205,40.774521,0.47
11.0,-73.953537,40.766766,0.2
12.0,-73.989799,40.745098,0.12
13.0,-74.004196,40.724007,0.99
14.0,-73.98838,40.736351,0.66
15.0,-73.986481,40.722164,0.48
16.0,-73.956741,40.770985,0.77
17.0,-73.987694,40.748615,0.46
18.0,-73.98185,40.768501,0.88
19.0,-74.001068,40.731617,0.94
20.0,-73.993912,40.751682,0.11
21.0,-74.005135,40.74102,0.12
22.0,-73.997536,40.732796,0.89
23.0,-73.993202,40.739971,0.86
24.0,-74.001808,40.739536,0.82
25.0,-73.966721,40.714844,0.82
26.0,-73.975975,40.75946,0.98
27.0,-73.981728,40.766445,0.8
28.0,-73.999985,40.730412,0.66
29.0,-73.980492,40.755405,0.12
30.0,-73.940453,40.751011,0.73
31.0,-73.9795,40.743977,0.15
32.0,-73.968857,40.758141,0.16
33.0,-73.983528,40.726875,0.23
34.0,-73.979675,40.766354,0.63
