customer_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,trip_time_in_mins,CS_distance,customer_waiting_time_in_mins
1.0,-73.983139,40.771378,-73.987625,40.760262,0.679,5.0,0.906,11.5
2.0,-73.956886,40.770729,-73.96199,40.762035,0.7,4.0,0.256,11.9
3.0,-73.982735,40.755386,-74.024193,40.632881,5.463,32.0,1.189,4.4
4.0,-73.988228,40.737713,-73.991982,40.73439,0.523,2.0,0.578,18.7
5.0,-74.002182,40.729568,-73.915535,40.749157,8.784,5.0,0.474,6.0
6.0,-73.943771,40.680111,-73.964279,40.682968,2.182,5.0,0.837,10.2
7.0,-73.994743,40.727871,-74.003296,40.732674,1.0,6.0,0.658,19.9
8.0,-73.970695,40.753586,-73.9935,40.724468,2.546,13.0,0.918,19.6
9.0,-74.006653,40.730892,-73.994263,40.721188,1.401,8.0,0.207,13.5
10.0,-73.966797,40.804008,-73.955536,40.819263,1.336,4.0,0.833,8.8
11.0,-73.939491,40.841663,-73.918121,40.871872,2.424,12.0,0.998,2.3
12.0,-73.997322,40.741791,-73.985741,40.723137,1.4,11.0,1.0,9.5
13.0,-73.966667,40.744572,-73.979141,40.686329,2.165,21.0,1.153,8.8
14.0,-73.988068,40.762444,-73.9758,40.7449,1.452,16.0,0.328,13.0
15.0,-74.009598,40.710438,-74.006653,40.744122,1.108,8.0,0.705,17.1
16.0,-73.990646,40.750862,-73.994118,40.74633,0.506,2.0,0.807,5.0
17.0,-73.991592,40.759701,-73.978088,40.749096,1.514,5.0,0.916,11.3
18.0,-73.987839,40.765121,-73.978035,40.737427,1.376,13.0,0.462,4.7
19.0,-73.995186,40.717838,-73.997223,40.76038,1.324,16.0,0.331,2.4
20.0,-74.001389,40.726147,-73.978241,40.729511,2.445,14.0,0.985,7.8
21.0,-73.990852,40.739826,-74.00238,40.733662,1.299,4.0,0.701,6.7
22.0,-74.001625,40.743408,-73.985298,40.731873,1.795,9.0,0.235,19.2
23.0,-73.981812,40.666958,-73.985809,40.658386,0.601,5.0,1.187,1.6
24.0,-73.982048,40.749043,-73.972145,40.762695,1.193,4.0,0.614,18.5
25.0,-73.95433,40.778931,-73.946739,40.780407,0.895,3.0,0.355,15.8
26.0,-73.990776,40.745613,-73.989883,40.726368,0.674,11.0,0.232,11.3
27.0,-73.982201,40.76638,-73.865578,40.757591,11.755,26.0,0.405,7.0
28.0,-73.978104,40.763161,-73.956146,40.767925,2.329,6.0,0.842,2.0
29.0,-73.99308,40.75211,-73.985397,40.768833,1.031,8.0,0.841,6.6
30.0,-73.987984,40.759262,-73.951897,40.790405,3.833,13.0,1.021,14.3
31.0,-73.998245,40.755699,-73.989922,40.748856,0.988,4.0,1.104,12.0
32.0,-73.985031,40.759235,-73.988579,40.724213,1.163,16.0,0.631,1.4
33.0,-74.003868,40.737736,-73.995644,40.695202,1.564,18.0,0.842,3.4
34.0,-73.997581,40.721687,-74.008453,40.720482,1.221,5.0,0.279,17.2
35.0,-73.994072,40.751171,-73.962982,40.804066,3.559,14.0,0.487,13.6
36.0,-73.987007,40.720821,-73.991951,40.735378,0.773,8.0,0.405,8.4
37.0,-73.980583,40.753632,-73.944771,40.779018,3.772,13.0,1.176,8.1
38.0,-73.983902,40.759956,-73.95768,40.773533,2.776,8.0,1.019,2.6
39.0,-74.002861,40.760452,-73.988686,40.722862,1.887,16.0,0.658,5.5
40.0,-73.979492,40.74408,-73.958389,40.764538,2.314,7.033333333333333,0.94,18.4
41.0,-73.988586,40.722656,-73.978287,40.741711,1.29,4.0,0.333,17.0
42.0,-73.988983,40.752785,-73.956245,40.775642,3.459,12.0,1.105,9.1
43.0,-73.947754,40.783409,-73.950798,40.771545,0.584,3.0,0.511,8.4
44.0,-73.977989,40.789043,-73.956551,40.768078,2.35,8.0,0.848,19.2
45.0,-74.00444,40.737831,-73.986946,40.775898,2.17,13.0,1.163,7.8
46.0,-74.01442,40.706379,-73.988564,40.748676,2.963,8.0,1.002,2.3
47.0,-74.005318,40.718166,-74.014175,40.712463,1.034,6.0,0.485,3.2
48.0,-73.990028,40.732643,-73.974091,40.67651,2.351,19.0,0.91,10.1
49.0,-74.008217,40.707981,-73.873337,40.719933,13.574,26.0,0.303,15.2
50.0,-73.993469,40.733181,-73.998291,40.745468,0.725,6.0,0.444,4.1
