taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.98661,40.74789,0.64
2.0,-73.977844,40.782875,0.76
3.0,-73.985153,40.753761,0.8
4.0,-73.985237,40.76123,0.54
5.0,-73.787643,40.641762,0.99
6.0,-74.000526,40.726158,0.57
7.0,-73.991074,40.75116,0.57
8.0,-73.994987,40.752758,0.47
9.0,-74.002579,40.728279,0.94
10.0,-74.010384,40.711773,0.88
11.0,-73.962875,40.762573,0.96
12.0,-73.969521,40.757336,0.58
13.0,-74.002678,40.733883,0.95
14.0,-73.993248,40.682644,0.75
15.0,-73.988876,40.736591,0.51
16.0,-73.988739,40.74892,0.89
17.0,-73.989853,40.756805,0.15
18.0,-73.989258,40.730247,0.72
19.0,-73.9739,40.75835,0.45
20.0,-74.000122,40.738083,0.21
21.0,-73.989143,40.753147,0.65
22.0,-73.972702,40.759254,0.69
23.0,-74.005203,40.7402,0.56
24.0,-73.980919,40.730698,0.62
25.0,-73.982773,40.757374,0.97
26.0,-73.981445,40.75927,0.82
27.0,-73.999947,40.734318,0.95
28.0,-73.971535,40.763885,0.31
29.0,-73.968208,40.755451,0.43
30.0,-74.004944,40.722874,0.13
31.0,-73.991882,40.735332,0.44
32.0,-73.976372,40.755566,0.4
33.0,-74.005257,40.740501,0.49
34.0,-74.007416,40.743404,0.74
