taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.948906,40.773476,0.93
2.0,-73.978867,40.756168,0.52
3.0,-73.98922,40.773193,0.84
4.0,-73.953217,40.767643,0.17
5.0,-73.98761,40.721272,0.33
6.0,-73.990532,40.751019,0.25
7.0,-73.993668,40.721321,0.76
8.0,-74.001564,40.739426,0.75
9.0,-73.98214,40.764812,0.69
10.0,-73.993309,40.747437,0.16
11.0,-73.982651,40.76886,0.6
12.0,-73.923485,40.764339,0.71
13.0,-74.002739,40.73978,0.32
14.0,-73.788849,40.641457,0.43
15.0,-73.994087,40.751072,0.96
16.0,0.0,0.0,0.12
17.0,-73.982323,40.771603,0.97
18.0,-73.958435,40.764343,0.24
19.0,-74.007408,40.741066,0.41
20.0,-73.959564,40.762791,0.99
21.0,-73.974274,40.753948,0.34
22.0,-73.99736,40.719109,0.49
23.0,-73.99617,40.736176,0.91
24.0,-73.984459,40.745968,0.17
25.0,-73.996803,40.747601,0.38
26.0,-73.995689,40.738941,0.21
27.0,-73.988213,40.721977,0.47
28.0,-73.993813,40.720661,0.7
29.0,-73.973839,40.764286,0.43
30.0,-73.971878,40.765362,0.76
