taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.977745,40.684387,0.8
2.0,-73.951309,40.712193,0.76
3.0,-74.004044,40.742313,0.15
4.0,-73.967384,40.802902,0.64
5.0,-73.955147,40.768929,0.3
6.0,-73.987244,40.733109,0.74
7.0,-74.005157,40.751556,1.0
8.0,-73.951721,40.714893,0.14
9.0,-73.977692,40.763409,0.6
10.0,-73.958321,40.781528,0.87
11.0,0.0,0.0,0.16
12.0,-73.944901,40.746044,0.41
13.0,-73.914574,40.763798,0.16
14.0,-73.982315,40.762321,0.52
15.0,-74.006157,40.739876,0.5
16.0,-73.988747,40.721043,0.12
17.0,-73.985077,40.744709,0.17
18.0,-73.978065,40.73745,0.9
19.0,-73.993355,40.721783,0.5
20.0,-73.993263,40.735065,0.77
21.0,-73.974617,40.67572,0.67
22.0,-74.005394,40.739609,0.68
23.0,-73.999741,40.728752,0.5
24.0,-74.007233,40.734241,0.67
25.0,-73.964722,40.805008,0.77
26.0,-73.99028,40.729149,0.82
27.0,-73.991478,40.750168,0.71
28.0,-73.985191,40.739738,0.11
29.0,-73.989548,40.767761,0.92
30.0,-73.985306,40.727734,0.3
31.0,-73.96917,40.758453,0.78
32.0,-73.988876,40.737072,0.72
33.0,-73.993469,40.751881,0.96
34.0,-73.991692,40.735378,0.13
