taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.783501,40.648666,0.6
2.0,-73.962997,40.758209,0.7
3.0,-73.983109,40.764614,0.1
4.0,-73.997787,40.741127,0.83
5.0,-73.991684,40.727306,0.82
6.0,-74.005287,40.740406,0.57
7.0,-73.948982,40.773434,0.54
8.0,-73.984467,40.774792,0.94
9.0,-73.971733,40.763004,0.3
10.0,-74.002167,40.739601,0.68
11.0,-74.005623,40.740696,0.4
12.0,-73.973244,40.752777,0.42
13.0,-73.985962,40.743393,0.42
14.0,-73.989883,40.725628,0.22
15.0,-73.988953,40.726986,0.75
16.0,-73.979996,40.752464,0.5
17.0,-73.988617,40.731495,0.77
18.0,-74.001595,40.72604,0.5
19.0,-73.968079,40.755642,0.27
20.0,-73.986641,40.734051,0.89
21.0,-73.981789,40.771976,0.5
22.0,-73.980209,40.734329,0.37
23.0,-73.991982,40.726299,0.33
24.0,-73.986725,40.747574,0.92
25.0,-73.96727,40.765175,0.46
26.0,-73.982018,40.740402,0.92
27.0,-73.980598,40.683193,0.77
28.0,-73.974419,40.788254,0.9
29.0,-73.995094,40.71983,0.16
30.0,-73.988853,40.744766,0.9
