taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.990303,40.757351,0.79
2.0,-73.987251,40.736015,0.14
3.0,-74.001068,40.725922,0.79
4.0,-73.983253,40.756142,0.23
5.0,-73.989922,40.723362,0.55
6.0,-74.002396,40.739922,0.65
7.0,-73.958923,40.763943,0.35
8.0,-73.99572,40.738811,0.61
9.0,-74.003334,40.731918,0.83
10.0,-74.001144,40.740101,0.94
11.0,-73.985855,40.768009,0.41
12.0,-73.991837,40.719578,0.42
13.0,-73.984642,40.760376,0.23
14.0,-73.997177,40.720673,0.36
15.0,-73.991432,40.742622,0.46
16.0,-74.000275,40.728779,0.79
17.0,-73.994225,40.720158,0.82
18.0,-73.97216,40.756794,0.99
19.0,-73.995224,40.742168,0.17
20.0,-73.982178,40.732121,0.2
21.0,-74.0056,40.740585,0.28
22.0,0.0,0.0,0.29
23.0,-73.996918,40.742233,0.24
24.0,-73.989929,40.761616,0.63
25.0,-73.991165,40.723831,0.65
26.0,-73.994545,40.752689,0.89
27.0,-73.989296,40.744675,0.28
28.0,-73.993721,40.752293,0.16
29.0,-73.990204,40.762459,0.51
30.0,-73.967926,40.761505,0.24
31.0,-73.992592,40.725616,0.75
32.0,-73.994034,40.751377,0.17
33.0,-74.002739,40.733429,0.25
34.0,-73.982903,40.738987,0.54
