taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.999962,40.730492,0.94
2.0,-73.993324,40.747467,0.48
3.0,-73.964668,40.760208,0.19
4.0,-73.927612,40.806957,0.36
5.0,-73.997147,40.722359,0.54
6.0,-73.7892,40.641861,0.64
7.0,-73.961456,40.716358,0.3
8.0,-74.000969,40.729561,0.26
9.0,-74.008224,40.704418,0.25
10.0,-73.976501,40.750847,0.9
11.0,-73.988029,40.72813,0.67
12.0,-73.996216,40.753559,0.17
13.0,-74.001045,40.725945,0.6
14.0,-73.984047,40.737705,0.25
15.0,-73.971916,40.757183,0.34
16.0,-74.005432,40.732426,0.77
17.0,-73.976341,40.781063,0.89
18.0,-74.002869,40.733631,0.65
19.0,0.0,0.0,0.96
20.0,-74.00457,40.742069,0.27
21.0,-73.993401,40.745014,0.3
22.0,-73.974464,40.756882,0.12
23.0,-74.009178,40.713375,0.98
24.0,-74.003738,40.742081,0.79
25.0,-73.935539,40.752254,0.46
26.0,-73.992599,40.689777,0.52
27.0,-73.97715,40.784775,0.36
28.0,-74.034843,40.750221,0.73
29.0,-73.782204,40.644676,0.73
30.0,-73.99836,40.740509,0.15
