taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.981041,40.744331,0.45
2.0,-74.004112,40.725082,0.91
3.0,-73.983551,40.716888,0.46
4.0,-73.996132,40.753422,0.2
5.0,-73.991585,40.722286,0.4
6.0,-74.002625,40.744678,0.81
7.0,-73.990227,40.751705,0.65
8.0,-73.999771,40.738392,0.44
9.0,-73.936508,40.697617,0.19
10.0,-73.990128,40.740791,0.48
11.0,-73.988739,40.718845,0.78
12.0,-74.008141,40.707909,0.6
13.0,-73.994446,40.72797,0.49
14.0,-74.001137,40.71883,0.94
15.0,-73.977547,40.784164,0.57
16.0,-73.958969,40.777679,0.87
17.0,-73.964851,40.689831,0.96
18.0,-73.976189,40.760136,1.0
19.0,-73.95591,40.763844,0.31
20.0,-73.974854,40.753223,0.44
21.0,-73.976486,40.785645,0.67
22.0,-73.958061,40.718052,0.8
23.0,-73.962074,40.763733,0.6
24.0,-73.991959,40.725651,0.27
25.0,-73.954056,40.764103,0.46
26.0,-73.998314,40.745514,0.6
27.0,-73.994453,40.741982,0.39
28.0,-73.991478,40.760063,0.46
29.0,-74.009094,40.705173,0.65
30.0,-73.99028,40.756065,0.63
