taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.994667,40.752834,0.36
2.0,-73.97361,40.748093,0.34
3.0,-73.978973,40.750069,0.74
4.0,-74.005173,40.720078,0.31
5.0,-73.940765,40.798313,0.91
6.0,-73.955566,40.78112,0.51
7.0,-73.994278,40.746334,0.58
8.0,-74.007324,40.71563,0.31
9.0,-74.004471,40.742306,0.23
10.0,-73.988937,40.719315,0.31
11.0,-73.987885,40.741032,0.59
12.0,-73.98896,40.746326,0.77
13.0,-73.999611,40.726734,0.74
14.0,-73.98716,40.720524,0.92
15.0,-73.98613,40.757248,0.91
16.0,-73.99868,40.74535,0.82
17.0,-73.986687,40.703297,0.35
18.0,-73.924919,40.762672,0.43
19.0,-73.979172,40.761662,0.29
20.0,-74.001755,40.730629,0.43
21.0,0.0,0.0,0.76
22.0,-74.00148,40.719112,0.2
23.0,-73.987587,40.721233,0.4
24.0,-73.979057,40.752777,0.32
25.0,-74.006378,40.739594,0.8
26.0,-74.007591,40.725834,0.79
27.0,-73.987473,40.765648,0.13
28.0,-73.961372,40.802036,0.43
29.0,-74.008476,40.73399,0.42
30.0,-73.987175,40.76437,0.4
31.0,-73.979996,40.754852,0.45
32.0,-73.987053,40.758537,0.64
33.0,-73.983154,40.767872,0.21
34.0,-73.993828,40.751732,0.62
