taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.966087,40.765106,0.38
2.0,-74.007477,40.705002,0.31
3.0,-73.990974,40.755482,0.49
4.0,-73.972786,40.749119,0.24
5.0,-73.983597,40.750656,0.83
6.0,-74.00264,40.719986,0.65
7.0,-74.000999,40.739197,0.16
8.0,-73.968941,40.756691,0.39
9.0,-73.957764,40.717823,0.93
10.0,-73.998199,40.725128,0.65
11.0,-73.996887,40.747467,0.2
12.0,-74.00148,40.727879,0.6
13.0,-73.98558,40.738457,0.44
14.0,-73.985466,40.738804,0.92
15.0,-74.001221,40.727688,0.51
16.0,-73.991669,40.726536,0.11
17.0,-73.987892,40.721264,0.73
18.0,-73.991356,40.737446,0.7
19.0,-73.990715,40.747131,0.18
20.0,-73.987656,40.732513,0.7
21.0,-73.987808,40.749638,0.71
22.0,-73.966927,40.756737,0.23
23.0,-73.989449,40.763721,0.31
24.0,-73.990906,40.760937,0.3
25.0,-74.008507,40.720081,0.27
26.0,-73.974777,40.756779,0.84
27.0,0.0,0.0,0.34
28.0,-73.980003,40.760841,0.86
29.0,-74.006798,40.743916,0.82
30.0,-74.009384,40.70451,0.79
